1,1,"Todos",28
2,2,"Las Palmas de Gran Canaria",35
3,5,"Santa Cruz de Tenerife",38
4,2,Agaete,35
5,2,Agüimes,35
6,2,Arucas,35
7,2,Firgas,35
8,2,Gáldar,35
9,2,Ingenio,35
10,2,"La Aldea de San Nicolás",35
11,2,Mogán,35
12,2,Moya,35
13,2,"San Bartolomé de Tirajana",35
14,2,"Santa Brígida",35
15,2,"Santa Lucía de Tirajana",35
16,2,"Santa María de Guía",35
17,2,Tejeda,35
18,2,Telde,35
19,2,Teror,35
20,2,Valleseco,35
21,2,Valsequillo,35
22,2,"Vega de San Mateo",35
23,4,Arrecife,35
24,4,Haría,35
25,4,"San Bartolomé",35
26,4,Teguise,35
27,4,Tías,35
28,4,Tinajo,35
29,4,Yaiza,35
30,3,"Puerto del Rosario",35
31,3,Antigua,35
32,3,Betancuria,35
33,3,"La Oliva",35
34,3,Pájara,35
35,3,Tuineje,35
36,5,"La Laguna",38
37,5,Adeje,38
38,5,Arafo,38
39,5,Arico,38
40,5,Arona,38
41,5,"Buenavista del Norte",38
42,5,Candelaria,38
43,5,"El Rosario",38
44,5,"El Sauzal",38
45,5,"El Tanque",38
46,5,Fasnia,38
47,5,Garachico,38
48,5,"Granadilla de Abona",38
49,5,"Guía de Isora",38
50,5,Güímar,38
51,5,"Icod de los vinos",38
52,5,"La Guancha",38
53,5,"La Matanza",38
54,5,"La Orotava",38
55,5,"La Victoria de Acentejo",38
56,5,"Los Realejos",38
57,5,"Los Silos",38
58,5,"Puerto de la Cruz",38
59,5,"San Juan de La Rambla",38
60,5,"San Miguel de Abona",38
61,5,"Santa Úrsula",38
62,5,"Santiago del Teide",38
63,5,Tacoronte,38
64,5,Tegueste,38
65,5,Vilaflor,38
66,6,"Santa Cruz de La Palma",38
67,6,"Los Llanos de Aridane",38
68,6,Barlovento,38
69,6,"Breña Alta",38
70,6,"Breña Baja",38
71,6,"El Paso",38
72,6,Fuencaliente,38
73,6,Garafía,38
74,6,Mazo,38
75,6,Puntagorda,38
76,6,Puntallana,38
77,6,Tazacorte,38
78,6,Tijarafe,38
79,6,"San Andrés y Sauces",38
80,7,"San Sebastián de La Gomera",38
81,7,Agulo,38
82,7,Alajeró,38
83,7,Hermigua,38
84,7,"Valle Gran Rey",38
85,7,Vallehermoso,38
86,8,Valverde,38
87,8,Frontera,38
88,8,"El Pinar",38
89,2,Artenara,35
